de,en,frequency
E-Mail Adresse *,Email address *,5
Telefon,Phone,4
E-Mail,Email,4
Mögliche Coachingthemen können z.B. sein:,Potential coaching topics can include:,4
Mobility Agreement Personalmobilität Call 23,Mobility Agreement Staff Mobility Call 23,4
Antrag absenden,Submit request,3
Kontakt,Contact,3
Geographie,Geography,3
Geodäsie und Geoinformation,Geodesy and Geoinformation,3
Medienwissenschaft,Media Studies,3
Anfrage abschicken,Send inquiry,3
Telefon *,Phone *,3
"Mitarbeiter*innengruppe, die das Anliegen betrifft *",Group of employees affected by the matter *,3
Geschlechtergerechte Zusammensetzung von Gremien,Gender balance in the makeup of University bodies,3
Welcome Center für internationale Forschende,Welcome Center for International Researchers,3
Austritt Mitarbeiter*in - Information für Mitarbeitende,An employee is leaving—information for staff,3
Internet & Netzzugang,Internet and network access,3
Internetseite und Kontaktinfos,Web page and contact details,3
Ihr Anliegen *,Your request *,3
Antrag abschicken,Submit request,3
Arbeitszeit Stunden/Woche:,Working hours (hours per week):,3
Internationaler Club,International Club,3
Eröffnung,Opener,3
Kunstgeschichte,Art History,3
Psychologie,Psychology,3
Philosophie,Philosophy,3
"Poppelsdorfer Allee 31-33, 4. Etage","Poppelsdorfer Allee 31–33, 4th floor",3
Mindestdauer:,Minimum length:,3
360 € (410 € mit Green Travel),€360 (€410 with “green travel”),3
Nutzung privates KFZ,Using private cars,3
Erasmus-Studium Europa,Erasmus study period in Europe,3
Virtuelle Maschinen für Institute - uniVM,Virtual machines for institutes and departments—uniVM,3
Protokoll der 04. Sitzung,Minutes of the 4th meeting,3
Frage:,Question:,3
Bericht abschicken,Submit report,3
"Arbeits-, Gesundheits- und Umweltschutzmanagement",Occupational Health & Safety and Environmental Protection Management System,3
Das Mobility Agreement steht Ihnen im Mobility Online-Portal zum Download bereit.,The Mobility Agreement can be downloaded from the Mobility-Online portal.,3
§ 5 Zugangsvoraussetzungen zum Studium,§ 5 Degree program admission requirements,3
Die Masterurkunde wird durch ein Diploma Supplement (Ergänzungsdokument) ergänzt.,The master’s diploma shall be augmented by a diploma supplement.,3
ECTS-LP,ECTS CP,3
"Präsentation (50 %), Protokoll (50 %)","Presentation (50%), report (50%)",3
Philosophische Fakultät,Faculty of Arts,2
Telefon:,Phone:,2
Beantragen Sie hier einen Zugang!,Request it here!,2
E-Mail senden,Send email,2
Stichworte:,Keywords:,2
Bestätigung des Verantwortlichen,Confirmation by the Responsible Person,2
Vorwort,Introduction,2
Tel.:,Phone:,2
Mathematik,Mathematics,2
Ziel:,Objective:,2
Zoll & Export,Customs and Exports,2
Bei welchem Thema können wir Ihnen weiter helfen?,What can we help you with?,2
Wareneinfuhr / Import,Imports,2
Warenausfuhr / Export,Exports,2
Anleitung EZT,Instructions on using EZT,2
Zollabwicklung,Customs clearance,2
E-Mail senden an Ralf Karrenbauer,Email Ralf Karrenbauer,2
SRM - Supplier Relationship Management,SRM—Supplier Relationship Management,2
Beschaffung,Acquisitions,2
Welche Themenbereiche *,Subject(s) of your inquiry *,2
Rektorat,Rectorate,2
Andere Organisationseinheiten,Other organizational units,2
"Sehr geehrte Damen und Herren, liebe Kolleg*innen,","Dear Sir or Madam, dear colleagues,",2
Mobil:,Cell:,2
Details Workflow,Details of the workflow,2
Weitere Informationen,More information,2
nur für Mitarbeitende mit mindestens Sprachniveau B2,Only for staff with at least B2-level English,2
Gebäudetechnik,Building Services,2
HRZ Plone 5 Support,University IT Plone 5 support,2
Plone 5 Support-Seiten,Plone 5 support pages,2
Mehr zur Webseite,More about the website,2
"Lesen, was in der Uni Bonn passiert",Read about what is going on at the University of Bonn,2
Rundschreiben Prozess,The circulars process,2
Instragram,Instagram,2
Pressemitteilungen abonnieren,Subscribe to receive press releases,2
Digitale Ausgaben,Digital issues,2
forsch abonnieren,Subscribe to “forsch”,2
Feedback Serviceportal,Feedback on the Service Portal,2
Lehraufträge,Lectureships,2
Telefonnummer *,Phone number *,2
"Vertragspartner * Name, Anschrift, Nationalität (bei natürlichen Personen), Internetseite, Branche, E-Mail, Telefon","Contracting party* Name, address, nationality (if private individual), website, industry, email, phone",2
Anliegen Bitte beschreiben Sie Ihr Anliegen kurz.,Subject of inquiry Please describe the subject of your inquiry in brief.,2
