de_text,en_grtr,tr_llm,tr_llm_comet_score,tr_llm_chrF_score,tr_llm_glsr,tr_llm_glsr_comet_score,tr_llm_glsr_chrF_score
Sie sind auf der Suche nach Ansprechpartner*innen und Informationen bei der Planung und Umsetzung einer raum- bzw. gebäudebezogenen Weiterentwicklung der Universität?,Looking for the right people and information for planning and delivering a project to enhance the University’s spaces and/or buildings?,Are you looking for contacts and information for planning and implementing a space- or building-related development of the university?,0.8374,52.01,Are you searching for contacts and information for the planning and Transfer of a room- or building-related development of the University?,0.694,49.48
"Hier finden Sie Informationen, wie sich Universitätseinrichtungen, wo, in welchem Umfang entwickeln können, wollen oder sollen.","Here you can find details of how and where the University’s institutes, departments and units are able, keen or expected to develop.","Here you will find information on how university facilities can, want to, or should develop, where, and to what extent.",0.7591,31.77,"Here you will find information about how university facilities can, want to, or should develop, where and to what extent.",0.7585,32.42
Sie sind auf der Suche nach Ansprechpartnern in Ihrer Einrichtung bezüglich eines Raumtausches/ Mehrbedarf/ Büroumstrukturierung?,"On the hunt for contacts in your institute, department or unit regarding a room swap, additional requirements or an office restructure?","Are you looking for contacts in your institution regarding a room exchange, additional needs, or office restructuring?",0.881,55.03,"Are you searching for contacts in your unit regarding a room exchange, additional space, or office restructuring?",0.8532,54.14
Raumbeauftragte sind aus den jeweiligen Fakultäten/Fachbereichen benannte Vertreter als zentrale Ansprechpartner und Mittler zwischen Fakultät/Fachbereich und Verwaltung in allen raumbezogenen Fragen (nicht Lehrraumplanung/Veranstaltungen).,Room Officers are nominated by their faculty or department to serve as central points of contact and mediators between the faculty/department and Central Administration on all room- and space-related issues (excluding planning teaching spaces/events).,"Room coordinators are designated representatives from the respective faculties or departments, serving as central contacts and mediators between the faculty/department and administration on all space‑related matters (excluding classroom planning or events).",0.8729,59.22,"Room managers are designated representatives from the respective faculties or departments, acting as central contacts and mediators between the faculty/department and administration on all space‑related issues (excluding classroom planning or events).",0.8763,61.95
In allen Raumfragen ist die Abteilung 4.7 auch Dienstleister und bietet seine Kenntnisse und Erfahrungen den betroffenen Einrichtungen an.,Section 4.7 acts as the central service provider for all room-related issues and offers its expertise and experience to the units affected.,"In all spatial matters, Department 4.7 also acts as a service provider and offers its knowledge and experience to the affected facilities.",0.7669,50.76,"In all spatial matters, Section 4.7 also serves as a service provider and offers its expertise and experience to the affected facilities.",0.7738,61.63
"Die Ressource Raum nimmt neben Finanzmitteln und Stellen eine wichtige Position ein, wenn es darum geht, optimale institutionelle Bedingungen für Forschung und Lehre zu schaffen.","Alongside funding and staff posts, space is also key to creating the best possible conditions for research and teaching at the University of Bonn.",Space as a resource occupies an important position alongside financial resources and staff positions when it comes to creating optimal institutional conditions for research and teaching.,0.8254,50.01,"Rooms, a prized resource, alongside financial resources and staff positions, plays a key role in establishing optimal institutional criteria for research and teaching.",0.7315,42.29
Sie stellt ein äußerst knappes und teures Gut dar.,It is an extremely scarce and expensive commodity.,It represents an extremely scarce and expensive good.,0.901,70.31,It is an extremely scarce and expensive commodity.,0.9798,100.0
Seit 2023 werden nur noch 80% der Bürofläche vom Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen als genehmigungsfähig anerkannt.,"Since 2023, only 80% of the University’s office space has been recognized by the Ministry of Culture and Science of the state of North Rhine-Westphalia (NRW) as being eligible for approval.","Since 2023, only 80% of office space has been recognized as eligible for approval by the Ministry of Culture and Science of the state of North Rhine-Westphalia.",0.8665,80.26,"Since 2023, only 80 % of the office space has been deemed eligible for approval by the Ministry of Culture and Science of the State of North Rhine‑Westphalia.",0.8431,71.49
"Dies gründet u.a. auf den Möglichkeiten von Homeoffice, flexible Arbeitszeitmodelle und den neuen Formen der Bürogestaltung im Rahmen von Desk-Sharing u.w.","This is due not least to the options available for working from home, flexible working-time models and the new forms of office design that embrace desk-sharing and other trends.","This is based, among other things, on the possibilities of home office, flexible working time models, and the new forms of office design within the framework of desk sharing, etc.",0.8733,50.68,"This is based, among other things, on the possibilities of working from home, flexible working‑time models, and new forms of office design such as desk‑sharing, etc.",0.8923,53.61
"An die Bedarfsfeststellung werden strenge Maßstäbe gesetzt, da die Universität Bonn über keine Raumreserven verfügt.","Strict criteria apply when determining room requirements, because the University of Bonn does not hold a reserve of spare space.","Strict standards are applied to the needs assessment, as the University of Bonn has no spare rooms.",0.7929,35.38,"Strict standards are applied to the needs assessment, because the University of Bonn, regarding room reserves, has none.",0.8058,48.45
