de_text,en_grtr,en_tr_llm
Sie sind auf der Suche nach Ansprechpartner*innen und Informationen bei der Planung und Umsetzung einer raum- bzw. gebäudebezogenen Weiterentwicklung der Universität?,Looking for the right people and information for planning and delivering a project to enhance the University’s spaces and/or buildings?,Are you searching for contacts and information for the planning and Transfer of a room- or building-related development of the University?
"Hier finden Sie Informationen, wie sich Universitätseinrichtungen, wo, in welchem Umfang entwickeln können, wollen oder sollen.","Here you can find details of how and where the University’s institutes, departments and units are able, keen or expected to develop.","Here you will find information about how university facilities can, want to, or should develop, where and to what extent."
Sie sind auf der Suche nach Ansprechpartnern in Ihrer Einrichtung bezüglich eines Raumtausches/ Mehrbedarf/ Büroumstrukturierung?,"On the hunt for contacts in your institute, department or unit regarding a room swap, additional requirements or an office restructure?","Are you searching for contacts in your unit regarding a room exchange, additional space, or office restructuring?"
Raumbeauftragte sind aus den jeweiligen Fakultäten/Fachbereichen benannte Vertreter als zentrale Ansprechpartner und Mittler zwischen Fakultät/Fachbereich und Verwaltung in allen raumbezogenen Fragen (nicht Lehrraumplanung/Veranstaltungen).,Room Officers are nominated by their faculty or department to serve as central points of contact and mediators between the faculty/department and Central Administration on all room- and space-related issues (excluding planning teaching spaces/events).,"Room managers are designated representatives from the respective faculties or departments, acting as central contacts and mediators between the faculty/department and administration on all space‑related issues (excluding classroom planning or events)."
In allen Raumfragen ist die Abteilung 4.7 auch Dienstleister und bietet seine Kenntnisse und Erfahrungen den betroffenen Einrichtungen an.,Section 4.7 acts as the central service provider for all room-related issues and offers its expertise and experience to the units affected.,"In all spatial matters, Section 4.7 also serves as a service provider and offers its expertise and experience to the affected facilities."
"Die Ressource Raum nimmt neben Finanzmitteln und Stellen eine wichtige Position ein, wenn es darum geht, optimale institutionelle Bedingungen für Forschung und Lehre zu schaffen.","Alongside funding and staff posts, space is also key to creating the best possible conditions for research and teaching at the University of Bonn.","Rooms, a prized resource, alongside financial resources and staff positions, plays a key role in establishing optimal institutional criteria for research and teaching."
Sie stellt ein äußerst knappes und teures Gut dar.,It is an extremely scarce and expensive commodity.,It is an extremely scarce and expensive commodity.
Seit 2023 werden nur noch 80% der Bürofläche vom Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen als genehmigungsfähig anerkannt.,"Since 2023, only 80% of the University’s office space has been recognized by the Ministry of Culture and Science of the state of North Rhine-Westphalia (NRW) as being eligible for approval.","Since 2023, only 80 % of the office space has been deemed eligible for approval by the Ministry of Culture and Science of the State of North Rhine‑Westphalia."
"Dies gründet u.a. auf den Möglichkeiten von Homeoffice, flexible Arbeitszeitmodelle und den neuen Formen der Bürogestaltung im Rahmen von Desk-Sharing u.w.","This is due not least to the options available for working from home, flexible working-time models and the new forms of office design that embrace desk-sharing and other trends.","This is based, among other things, on the possibilities of working from home, flexible working‑time models, and new forms of office design such as desk‑sharing, etc."
"An die Bedarfsfeststellung werden strenge Maßstäbe gesetzt, da die Universität Bonn über keine Raumreserven verfügt.","Strict criteria apply when determining room requirements, because the University of Bonn does not hold a reserve of spare space.","Strict standards are applied to the needs assessment, because the University of Bonn, regarding room reserves, has none."
Grundsätzlich ist die Lösung einer Raumfrage immer innerhalb der jeweiligen Einrichtung - ggf. in Zusammenarbeit mit den Raumbeauftragten und Abt. 4.7 - anzustreben.,"Ideally, staff in a particular institute, department or unit will always endeavor to resolve a room or space issue with their colleagues, liaising with the Room Officers and Section 4.7 as required.","In principle, a space issue should always be addressed within the respective unit – if necessary in collaboration with the space officers and Dept. 4.7."
"Anträge auf Bereitstellung zusätzlicher Räume durchlaufen immer ein Verfahren zur Bedarfsfeststellung (Flächenbilanzierung und Kennwertverfahren), ggf. mit einer Bewertung der tatsächlichen Situation vor Ort.","All requests for the provision of additional rooms undergo a needs analysis (extent accounting and parameter-based method for determining space requirements), if necessary including an assessment of the actual situation on the ground.","Requests for additional rooms always go through a needs determination process (area accounting and Parameter-based space requirements calculation), possibly including an assessment of the actual situation at the venue."
"Das Ergebnis dieses Verfahrens entscheidet darüber, ob einer Universitätseinrichtung zusätzliche Räume zur Verfügung gestellt werden (können).","The results of this process determine whether additional rooms will or can be provided to an institute, department or unit at the University.",The result of this procedure determines whether a university institution can be provided with additional rooms.
Es werden durch die Abteilung 4.7 regelmäßige Datenaktualisierungen durchgeführt (alle zwei Jahre).,Section 4.7 carries out regular data updates (every two years).,Section 4.7 carries out regular data updates (every two years).
Das Kennwertverfahren ist ein vom MKW (Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen) vorgegebenes Tool zur Flächenbedarfsermittlung.,The parameter-based method is a tool for determining space requirements whose use is prescribed by the Ministry of Culture and Science of NRW (MKW).,The Parameter-based space requirements calculation is a tool prescribed by the MKW (Ministry of Culture and Science of the State of North Rhine‑Westphalia) for determining space needs.
"Es ermöglicht die Größenordnung der verschiedenen Nutzflächen (NUF 1-6) zu bestimmen, die die fachlichen Einrichtungen für Forschung, Lehre und Weiterbildung sowie den zentralen Hochschulbibliotheken und zentralen Hochschulverwaltungen benötigen.","It enables a calculation of how much of the various categories of usable space (NUF 1–6) is required by the University’s institutes, departments and units for research, teaching and continual professional development and by its libraries and Central Administration teams.","It enables the determination of the scale of the various usable areas (NUF 1‑6) required by the academic units for Research, Teaching and Continual professional development, as well as by the central university libraries and central university administrations."
Das Kennwertverfahren ist Grundlage zur Beantragung zusätzlicher Flächen der Universität.,Any applications for additional University space will be based on this method.,Any applications for additional University space will be based on this method.
"Bei allen Fragen grundsätzlicher Art, Problemen oder Unklarheiten rund um das Thema Flächenentwicklung wenden Sie sich bitte an Fr. Scheffenborn oder Herrn Wyrwa.","Please contact Sophie Scheffenborn or Sebastian Wyrwa if you have any general questions, problems or doubts regarding land development.","For any fundamental questions, problems, or uncertainties concerning the topic of land development, please contact Ms. Scheffenborn or Mr. Wyrwa."
Sie suchen Informationen und Hilfe zur Vergabe oder Reservierung der Uni-Räume?,Looking for information on and help with allocating or booking rooms at the University?,Are you looking for information and help about allocating or reserving university rooms?
Sie suchen Informationen zu den Standorten und Gebäude der Universität?,Looking for information on the University’s various sites and buildings?,Looking for information on the University’s various sites and buildings?
"Aufzug fährt nicht, Heizung bleibt kalt oder Sie haben eine andere technische Störung im Gebäude bzw. der -Infrastruktur?",Is your elevator stuck? Is your heating not coming on? Or maybe you’re experiencing a different kind of technical problem in your building or building infrastructure.,"Elevator not working, Heating stays cold, or you have another technical fault in the building or the infrastructure?"
Sie sind noch nicht für das Meldeportal freigeschaltet?,Not yet been given access to the reporting portal?,You have not yet been given access to the reporting portal?
Der Benutzername und das Passwort werden an die o.a. E-Mail-Adresse versendet.,Your user name and password will be sent to the email address entered above.,The username and password are sent to the above‑mentioned Email address.
"Verwenden Sie bitte ausschließlich eine E-Mail-Adresse, auf die lediglich Sie als Antragsteller*in Zugriff haben!",Please only specify an email address to which you—as the person making the request—have sole access.,"Please use only an email address that only you, as the applicant, have access to!"
Bei allen technischen Fragen rund um das Meldeportal stehen Ihnen die Mitarbeiter*innen des Fachbereichs CAFM gerne zur Verfügung.,Please do not hesitate to contact the CAFM team if you have any technical questions about the reporting portal.,"If you have any technical questions about the reporting portal, the staff of the CAFM department are happy to help."
"Hiermit wird bestätigt, dass gefährliche Reaktionen des o.g. Gemisches ausgeschlossen sind und der Behälter zur Entsorgung freigegeben werden kann.",I hereby confirm that the mixture specified above will not trigger a dangerous reaction and that the container can be approved for disposal.,This confirms that dangerous reactions of the aforementioned mixture are ruled out and the container can be released for disposal.
"Die Abfälle, die in meinem Verantwortungsbereich anfallen, wurden anhand der Entsorgungsrichtlinie bewertet.",The waste generated within my area of responsibility has been assessed in line with the waste disposal guidelines.,The waste generated within my area of responsibility was evaluated according to the Waste Disposal Guidelines.
Das Ergebnis ist in der folgenden Tabelle dokumentiert.,The results are recorded in the table below.,The results are recorded in the table below.
"Sofern eine angegebene Abfallgruppe den Abfall nicht eindeutig klassifiziert, habe ich das Formular für „Nicht zuzuordnende Abfälle“ ausgefüllt.","Where a waste group indicated does not classify the waste beyond any ambiguity, I have filled in the “Non-Classifiable Chemical Waste” form.","If a specified waste group does not clearly classify the waste, I filled out the form for “Unassignable waste.”"
"Ich werde sicherstellen, dass die Einstufung der Abfälle regelmäßig (d.h. mindestens einmal jährlich) überprüft wird.",I will ensure that the waste classification is checked regularly (i.e. at least once a year).,"I will ensure that the classification of the waste is reviewed regularly (i.e., at least once every year)."
"Sollte sich diese Einstufung ändern, z.B. durch Veränderung der Arbeitsverfahren, werde ich sicherstellen, dass die Abteilung 4.1 umgehend informiert wird.","If this classification changes, e.g. due to changes in working methods, I will make sure that Section 4.1 is notified without delay.","Should this classification be modified, for example due to changes in the work procedures, I will ensure that Section 4.1 is informed immediately."
Bis zu diesem Zeitpunkt ist die Einstufung verbindlich.,"Unless and until this happens, the classification is binding.","Unless and until this happens, the classification is binding."
"Außerdem versichere ich, dass ich für alle Abfälle, die in meinem Verantwortungsbereich anfallen, bis zur Entsorgung sicherstelle, dass von den Behältern oder deren Inhalt keinerlei Gefahren für Personen oder die Umwelt ausgehen können.","I also confirm that, for all the waste generated within my area of responsibility, I will make sure that neither the containers nor their contents can pose any risk whatsoever to people or the environment.","Furthermore, I certify that for all waste generated within my area of responsibility, up to disposal, I ensure that neither the containers nor their contents pose any danger to people or the environment."
"Außerdem versichere ich, dass ich bis zur Entsorgung sicherstelle, dass von den Behältern oder deren Inhalt keinerlei Gefahr für Personen oder die Umwelt ausgehen kann.",I also hereby confirm that I shall ensure that neither the containers nor their contents can pose any risk whatsoever to people or the environment right up until the waste is disposed of.,"Furthermore, I assure that I, to the Disposal, ensure that no danger to persons or the environment can arise from the containers or their Contents."
"Wird für die Aufstellung der Container Datum/Uhrzeit nicht angegeben, wird der Container innerhalb von 48 Std. morgens um 08:00 Uhr angeliefert.","if no date or time is specified for setting up the container, it will be delivered within 48 hours and arrive at 8 am.","If the Date/Time for the Setup of the Containers is not specified, the container will be delivered within 48 hours, in the morning at 08:00."
